,Actual,Prediction,Difference
511,8.8,7.12,1.680062103271485
512,8.88,7.04,1.835149173736573
513,8.92,6.98,1.9394458961486816
514,8.88,6.93,1.945890312194825
515,8.92,6.91,2.0140847396850585
516,9.0,6.9,2.0990614891052246
517,9.04,6.92,2.1248841667175284
518,9.04,6.95,2.0946650886535636
519,9.12,6.99,2.1314779472351066
520,9.2,7.04,2.162538242340087
521,9.24,7.1,2.143091907501221
522,9.28,7.16,2.118687419891357
523,9.32,7.23,2.093314952850342
524,9.32,7.29,2.029723472595215
525,9.36,7.35,2.013831481933593
526,9.4,7.4,1.9987286567687992
527,9.44,7.45,1.9875316047668452
528,9.4,7.5,1.9016827583312992
529,9.4,7.54,1.8617424011230472
530,9.44,7.57,1.871554794311523
531,9.56,7.6,1.96257740020752
532,9.48,7.63,1.848841648101807
533,9.44,7.68,1.7550053024291987
534,9.4,7.76,1.6367930412292484
535,9.44,7.85,1.5882806205749507
536,9.36,7.95,1.4064353561401362
537,9.32,8.06,1.2571585845947268
538,9.32,8.18,1.1363900375366214
539,9.36,8.31,1.0515378570556635
540,9.24,8.43,0.8123533630371096
541,9.12,8.53,0.5869218063354484
542,9.04,8.64,0.4041700744628898
543,9.04,8.73,0.3066864395141593
544,9.0,8.82,0.1806774139404297
545,8.92,8.89,0.02744476318359368
546,8.84,8.95,-0.10983577728271499
547,8.76,8.99,-0.22904514312744162
548,8.76,9.01,-0.2498562240600588
549,8.72,9.02,-0.29764965057372983
550,8.64,9.01,-0.3747848129272455
551,8.56,8.99,-0.4346880340576167
552,8.56,8.97,-0.4071039581298823
553,8.52,8.92,-0.4045710372924809
554,8.44,8.87,-0.4296155548095708
555,8.32,8.81,-0.4881159591674802
556,8.2,8.75,-0.5461442947387702
557,8.16,8.68,-0.5204122924804686
558,8.08,8.61,-0.5303935241699218
559,8.04,8.52,-0.4811105346679696
560,8.0,8.41,-0.4107942581176758
561,7.96,8.29,-0.3320026779174805
562,7.84,8.18,-0.3394519424438478
563,7.72,8.08,-0.36471584320068384
564,7.6,8.01,-0.41459980010986364
565,7.6,7.96,-0.36356201171875036
566,7.6,7.93,-0.3306721687316898
567,7.56,7.91,-0.3478264236450199
568,7.44,7.9,-0.45840126037597617
569,7.36,7.89,-0.5317403221130368
570,7.32,7.89,-0.5714694786071775
571,7.24,7.89,-0.6483786201477049
572,7.24,7.89,-0.6479461288452146
573,7.24,7.88,-0.6425154304504392
574,7.2,7.87,-0.6748283386230467
575,7.24,7.86,-0.6183135604858396
576,7.2,7.83,-0.6337531089782713
577,7.2,7.8,-0.5968864440917967
578,7.2,7.75,-0.547711658477783
579,7.16,7.69,-0.5286844635009764
580,7.28,7.62,-0.3392827224731443
581,7.2,7.55,-0.3469155311584471
582,7.24,7.47,-0.22848344802856424
583,7.28,7.39,-0.11064645767211889
584,7.24,7.31,-0.0740282630920408
585,7.32,7.24,0.07863552093505888
586,7.32,7.18,0.14466650009155302
587,7.4,7.11,0.2858580589294437
588,7.44,7.06,0.3812984848022465
589,7.48,7.01,0.4732518005371098
590,7.64,6.96,0.6765295410156247
591,7.72,6.92,0.7971408081054685
592,7.92,6.89,1.0310363006591796
593,8.08,6.86,1.2242661285400391
594,8.12,6.83,1.2884103012084953
595,8.32,6.81,1.5089576911926272
596,8.44,6.8,1.6428970718383784
597,8.6,6.79,1.8130522727966305
598,8.64,6.78,1.8561202430725103
599,8.72,6.79,1.9316889953613288
600,8.72,6.81,1.9132692527771002
601,8.96,6.83,2.126809082031251
602,9.0,6.87,2.1295132637023926
603,9.04,6.93,2.1130977058410636
604,9.16,7.02,2.139508399963379
605,9.12,7.15,1.9670625877380363
